month,SSI_global_raw
2023-01,65.25946236559139
2023-02,61.48535714285714
2023-03,57.384408602150536
2023-04,54.42122222222222
2023-05,54.32365591397849
2023-06,51.623
2023-07,57.122580645161285
2023-08,63.80010752688171
2023-09,72.75544444444444
2023-10,75.08333333333336
2023-11,75.25422222222223
2023-12,75.03129032258066
2024-01,74.22086021505375
2024-02,73.21758620689656
2024-03,77.35247311827958
2024-04,71.74188888888891
2024-05,61.732580645161285
2024-06,49.283444444444434
2024-07,55.669677419354834
2024-08,61.237526881720434
2024-09,65.10811111111111
2024-10,75.67806451612903
2024-11,77.69111111111111
2024-12,75.07913978494622
2025-01,70.95655913978494
2025-02,66.25595238095238
2025-03,62.9152688172043
2025-04,62.89066666666667
2025-05,59.35204301075269
2025-06,47.564222222222234
2025-07,51.010645161290334
2025-08,59.26634408602151
2025-09,64.1108888888889
2025-10,70.96300000000001
