region,month,SPI_raw,year,month_num,WUI_raw,SSI_global_raw,infra_index,SPI_z,WUI_z,SSI_z,infra_z,IDI,IDI_with_infra
강릉,2023-01,0.017,2023,1,66.7,65.25946236559139,0.3197423873005438,-0.0666443660249966,-1.1887096255747762,0.0732906554685247,-1.3141921092876028,-0.3940211120437494,-0.6240638613547127
강릉,2023-02,0.062,2023,2,66.7,61.48535714285714,0.3197423873005438,-0.010999152013324841,-1.1887096255747762,-0.35458947390391365,-1.3141921092876028,-0.5180994171640049,-0.7171225901949043
강릉,2023-03,-0.286,2023,3,66.7,57.384408602150536,0.3197423873005438,-0.44132214037025314,-1.1887096255747762,-0.8195246806854578,-1.3141921092876028,-0.8165188155434957,-0.9409371389795225
강릉,2023-04,-1.091,2023,4,66.7,54.42122222222222,0.3197423873005438,-1.4367531910234923,-1.1887096255747762,-1.155468830827573,-1.3141921092876028,-1.2603105491419473,-1.2737809391783612
강릉,2023-05,-1.246,2023,5,66.7,54.32365591397849,0.3197423873005438,-1.6284200392859174,-1.1887096255747762,-1.166530177061972,-1.3141921092876028,-1.3278866139742218,-1.324462987802567
강릉,2023-06,-0.58,2023,6,66.7,51.623,0.3197423873005438,-0.8048708719131752,-1.1887096255747762,-1.4727105651716563,-1.3141921092876028,-1.1554303542198692,-1.1951207929868026
강릉,2023-07,-0.169,2023,7,66.7,57.122580645161285,0.3197423873005438,-0.29664458393990656,-1.1887096255747762,-0.8492087974490912,-1.3141921092876028,-0.7781876689879246,-0.9121887790628441
강릉,2023-08,0.615,2023,8,66.7,63.80010752688171,0.3197423873005438,0.6728187001745527,-1.1887096255747762,-0.09216019985633225,-1.3141921092876028,-0.20268370841885194,-0.48056080863603967
강릉,2023-09,0.537,2023,9,66.7,72.75544444444444,0.3197423873005438,0.5763669958876549,-1.1887096255747762,0.923129648391316,-1.3141921092876028,0.10359567290139822,-0.25085127264585205
강릉,2023-10,0.604,2023,10,66.7,75.08333333333336,0.3197423873005438,0.6592165367494773,-1.1887096255747762,1.1870484689219298,-1.3141921092876028,0.219185126698877,-0.16415918229774296
강릉,2023-11,-0.224,2023,11,66.7,75.25422222222223,0.3197423873005438,-0.36465540106528316,-1.1887096255747762,1.2064225869103806,-1.3141921092876028,-0.11564747990989292,-0.4152836372543204
강릉,2023-12,0.373,2023,12,66.7,75.03129032258066,0.3197423873005438,0.37357110482289557,-1.1887096255747762,1.1811482173763033,-1.3141921092876028,0.12200323220814087,-0.23704560316579504
강릉,2024-01,1.01,2024,1,65.3,74.22086021505375,0.3197423873005438,1.1612600231658938,-1.3247160973972876,1.0892676473362581,-1.3141921092876028,0.30860385770162146,-0.0970951340456846
강릉,2024-02,1.726,2024,2,65.3,73.21758620689656,0.3197423873005438,2.04663720610716,-1.3247160973972876,0.9755238624994114,-1.3141921092876028,0.5658149904030946,0.09581321548042021
강릉,2024-03,1.506,2024,3,65.3,77.35247311827958,0.3197423873005438,1.7745939376056536,-1.3247160973972876,1.4443067506726244,-1.3141921092876028,0.6313948636269968,0.14499812039834692
강릉,2024-04,1.11,2024,4,65.3,71.74188888888891,0.3197423873005438,1.284916054302942,-1.3247160973972876,0.8082202177731993,-1.3141921092876028,0.2561400582262846,-0.13644298365218724
강릉,2024-05,0.366,2024,5,65.3,61.732580645161285,0.3197423873005438,0.36491518264330214,-1.3247160973972876,-0.32656110216891254,-1.3141921092876028,-0.4287873389742993,-0.6501385315526251
강릉,2024-06,-0.448,2024,6,65.3,49.283444444444434,0.3197423873005438,-0.6416449108122715,-1.3247160973972876,-1.7379520660590866,-1.3141921092876028,-1.2347710247562151,-1.2546262958890622
강릉,2024-07,-0.628,2024,7,65.3,55.669677419354834,0.3197423873005438,-0.8642257668589585,-1.3247160973972876,-1.0139282166319283,-1.3141921092876028,-1.067623360296058,-1.1292655475439441
강릉,2024-08,-1.699,2024,8,65.3,61.237526881720434,0.3197423873005438,-2.1885818603367464,-1.3247160973972876,-0.3826866354665566,-1.3141921092876028,-1.2986615310668637,-1.3025441756220484
강릉,2024-09,-1.191,2024,9,65.3,65.10811111111111,0.3197423873005438,-1.5604092221605408,-1.3247160973972876,0.05613156993015602,-1.3141921092876028,-0.9429979165425575,-1.035796464728819
강릉,2024-10,0.122,2024,10,65.3,75.67806451612903,0.3197423873005438,0.06319446666890417,-1.3247160973972876,1.2544746906137763,-1.3141921092876028,-0.002348980038202386,-0.3303097623505525
강릉,2024-11,0.959,2024,11,65.3,77.69111111111111,0.3197423873005438,1.098195447285999,-1.3247160973972876,1.4826990210604136,-1.3141921092876028,0.41872612364970835,-0.014503434584619446
강릉,2024-12,0.974,2024,12,65.3,75.07913978494622,0.3197423873005438,1.1167438519565562,-1.3247160973972876,1.1865730354296127,-1.3141921092876028,0.3262002633296271,-0.08389782982468036
강릉,2025-01,-0.417,2025,1,63.8,70.95655913978494,0.3197423873005438,-0.6033115411597865,-1.4704373172071206,0.719185340679024,-1.3141921092876028,-0.45152117256262764,-0.6671889067438714
강릉,2025-02,-1.368,2025,2,63.8,66.25595238095238,0.3197423873005438,-1.7792803972731166,-1.4704373172071206,0.18626532139002827,-1.3141921092876028,-1.0211507976967364,-1.094411125594453
강릉,2025-03,-0.651,2025,3,63.8,62.9152688172043,0.3197423873005438,-0.8926666540204796,-1.4704373172071206,-0.1924766667343335,-1.3141921092876028,-0.8518602126539779,-0.9674431868123842
강릉,2025-04,-0.418,2025,4,63.8,62.89066666666667,0.3197423873005438,-0.604548101471157,-1.4704373172071206,-0.1952658765559017,-1.3141921092876028,-0.7567504317447264,-0.8961108511304455
강릉,2025-05,-0.478,2025,5,63.8,59.35204301075269,0.3197423873005438,-0.678741720153386,-1.4704373172071206,-0.5964488479718153,-1.3141921092876028,-0.915209295110774,-1.0149549986549813
강릉,2025-06,-1.406,2025,6,63.8,47.56422222222224,0.3197423873005438,-1.8262696891051946,-1.4704373172071206,-1.9328647628310813,-1.3141921092876028,-1.7431905897144653,-1.6359409696077498
강릉,2025-07,-2.114,2025,7,63.8,51.010645161290334,0.3197423873005438,-2.701754389555497,-1.4704373172071206,-1.5421348265914547,-1.3141921092876028,-1.9047755111180242,-1.7571296606604188
강릉,2025-08,-2.06,2025,8,63.8,59.26634408602151,0.3197423873005438,-2.6349801327414912,-1.4704373172071206,-0.6061647580583096,-1.3141921092876028,-1.570527402668974,-1.5064435793236313
강릉,2025-09,-1.88,2025,9,63.8,64.1108888888889,0.3197423873005438,-2.4123992766948037,-1.4704373172071206,-0.05692610818841697,-1.3141921092876028,-1.3132542340301139,-1.3134887028444862
강릉,2025-10,0.258,2025,10,63.8,70.96300000000001,0.3197423873005438,0.23136666901528993,-1.4704373172071206,0.7199155577608082,-1.3141921092876028,-0.1730516968103408,-0.45833679992965626
속초,2023-01,0.293,2023,1,80.8,65.25946236559139,0.4675581374046513,0.27464627991325685,0.18106984063765275,0.0732906554685247,0.0796181871094555,0.1763355920064781,0.15215624078222245
속초,2023-02,0.195,2023,2,80.8,61.48535714285714,0.4675581374046513,0.1534633693989495,0.18106984063765275,-0.35458947390391365,0.0796181871094555,-0.006685421289103803,0.014890480810536021
