순번,연도,지역,수량,유수율
1,2023,강원특별자치도 춘천시,33304933,87.3
2,2023,강원특별자치도 원주시,37969115,81.9
3,2023,강원특별자치도 강릉시,25648320,66.7
4,2023,강원특별자치도 동해시,11678490,68.0
5,2023,강원특별자치도 태백시,4424713,57.6
6,2023,강원특별자치도 속초시,10112116,80.8
7,2023,강원특별자치도 삼척시,7613349,54.9
8,2023,강원특별자치도 홍천군,6403952,82.6
9,2023,강원특별자치도 횡성군,6625861,84.6
10,2023,강원특별자치도 영월군,3451452,58.2
11,2023,강원특별자치도 평창군,4477995,57.6
12,2023,강원특별자치도 정선군,4867345,58.7
13,2023,강원특별자치도 철원군,6388147,64.4
14,2023,강원특별자치도 화천군,3093326,80.2
15,2023,강원특별자치도 양구군,3076460,69.8
16,2023,강원특별자치도 인제군,5358931,83.0
17,2023,강원특별자치도 고성군,4623356,71.1
18,2023,강원특별자치도 양양군,4475000,65.6
