순번,연도,지역,수량,유수율
1,2022,강원특별자치도 춘천시,32988776,86.0
2,2022,강원특별자치도 원주시,37164903,82.6
3,2022,강원특별자치도 강릉시,25784897,68.5
4,2022,강원특별자치도 동해시,11777493,66.8
5,2022,강원특별자치도 태백시,4361843,60.3
6,2022,강원특별자치도 속초시,10576985,81.3
7,2022,강원특별자치도 삼척시,7610190,55.6
8,2022,강원특별자치도 홍천군,6387485,82.8
9,2022,강원특별자치도 횡성군,6723121,92.7
10,2022,강원특별자치도 영월군,3454381,63.9
11,2022,강원특별자치도 평창군,4336029,58.8
12,2022,강원특별자치도 정선군,4586307,52.9
13,2022,강원특별자치도 철원군,6425715,67.9
14,2022,강원특별자치도 화천군,3107158,78.2
15,2022,강원특별자치도 양구군,3073700,68.3
16,2022,강원특별자치도 인제군,5248142,69.7
17,2022,강원특별자치도 고성군,4693519,73.7
18,2022,강원특별자치도 양양군,4529694,65.9
