region,region_key,month,year,month_num,SPI_raw,WUI_raw,SSI_global_raw,SPI_z,WUI_z,SSI_z,IDI,mean_humidity,평균기온,coverage_rate,coverage_vulnerability,treatment_resilience,reservoir_resilience,water_resilience_index,capacity_per_capita,storage_days,treatment_capacity,reservoir_capacity,fac_count_norm,capacity_sum_norm,capacity_mean_norm,emergency_water_idx,fac_count,capacity_sum,capacity_mean,capacity_max,capacity_min,water_budget_static_idx,water_budget_ratio_norm,water_budget_ratio,water_budget,total_budget,pipe_total_norm,pipe_old_norm,old_pipe_ratio_norm,pipe_index,total_pipe_km,old_pipe_km,old_ratio
강릉,강릉,2025-09,2025,9,-1.88,63.8,64.1108888888889,-2.4071127198633357,-1.4632490439797057,-0.0569261081884169,-1.3090959573438192,74.0,23.3,96.6,3.4000000000000057,0.3323975812381606,0.2335066969387087,0.2829521390884347,0.5679442169858111,0.5364071913097102,116800.0,56540.0,0.3529411764705882,0.3267996530789245,0.505920900215125,0.3952205765882126,10,4643,464.3,2680,106,0.0844736470555803,0.0844736470555803,0.0827113053355454,118255.0,1429732.0,1.0,1.0,1.0,1.0,1968.04,855.89,43.48946159630902
속초,속초,2025-09,2025,9,-1.281,83.3,64.1108888888889,-1.6811078342782897,0.4183918656921957,-0.0569261081884169,-0.4398806922581702,78.0,22.2,99.6,0.4000000000000057,0.3920433244845076,0.434828043152991,0.4134356838187493,0.6258650779322381,0.859375,52000.0,29480.0,0.3529411764705882,0.2741543798785776,0.4094919741850074,0.3455291768447244,10,4036,403.6,1950,100,0.0,0.0,0.0761390718061833,37763.0,495974.0,0.0812655805484352,0.2381342845856426,0.9441226557865736,0.4211741736402172,532.568,219.435,41.20318907632453
원주,원주,2025-09,2025,9,-0.999,83.5,64.1108888888889,-1.3393158848041942,0.437690746817036,-0.0569261081884169,-0.319517082058525,79.0,22.4,96.3,3.700000000000003,0.0,0.3469015172700298,0.1734507586350149,0.2451591692363504,0.7183197273020696,86500.0,91246.0,1.0,0.5888985255854293,0.3481714380274698,0.6456899878709664,21,7665,365.0,2300,100,0.1385809198888034,0.1385809198888034,0.0869209688826025,145521.0,1674176.0,0.8482250575220248,0.7343875315720801,0.8323117447323122,0.8049747779421391,1730.9,634.0,36.62834363625859
인제,인제,2025-09,2025,9,-0.304,95.1,64.1108888888889,-0.4969562930152008,1.5570258520577562,-0.0569261081884169,0.3343811502847127,83.0,20.2,81.3,18.700000000000003,0.8761726299705236,0.3451518600436352,0.6106622450070794,1.0959939531368104,0.7155128567391918,29000.0,12661.0,0.1176470588235294,0.0,0.0,0.0392156862745098,6,875,145.83333333333334,300,45,1.0,1.0,0.1539412474958129,90904.0,590511.0,0.0994627010870782,0.0,0.0264112339489528,0.0419579783453437,561.0,20.5,3.654188948306596
철원,철원,2025-09,2025,9,0.388,59.7,64.1108888888889,0.3417672142049192,-1.858876107038925,-0.0569261081884169,-0.524678333674141,86.0,21.2,95.1,4.900000000000006,0.5974553594110912,0.0,0.2987276797055456,0.8253368468154925,0.1618063472217114,33200.0,4400.0,0.2352941176470588,0.0507372072853425,0.0582492139665728,0.1147601796329914,8,1460,182.5,250,120,0.0360171631197827,0.0360171631197827,0.0789412854590707,44055.0,558073.0,0.0,0.0454949185410407,0.2896473310402699,0.1117140831937702,405.595,58.506,14.424734032717366
춘천,춘천,2025-09,2025,9,0.142,92.6,64.1108888888889,0.0436082795573041,1.315789837997256,-0.0569261081884169,0.434157336455381,81.0,21.6,98.5,1.5,0.4164641614333282,0.2626507138375971,0.3395574376354627,0.649579693999071,0.5831611965419631,186000.0,60980.0,0.7058823529411765,1.0,1.0,0.9019607843137256,16,12405,775.3125,3024,100,0.6919219198652488,0.6919219198652488,0.1299721025790452,210537.0,1619863.0,0.8750740026048917,0.2936329139683262,0.3035285159317926,0.4907451441683368,1772.85,265.798,14.992695377499508
홍천,홍천,2025-09,2025,9,-0.636,81.4,64.1108888888889,-0.8993496519705185,0.2350524950062164,-0.0569261081884169,-0.2404077550509063,83.0,21.4,81.9,18.099999999999994,0.4447436864116855,0.5521989300266291,0.4984713082191573,0.6770414095340309,1.0476661020139282,37850.0,22265.0,0.0,0.0379011274934952,0.2893926857521098,0.109097937748535,4,1312,328.0,870,100,0.5501997866496434,0.5501997866496434,0.1189458122714956,85206.0,716343.0,0.3345365756874642,0.0040579848932833,0.0,0.1128648535269158,928.29,23.89,2.5735492141464413
