region,month,SPI_raw,year,month_num
춘천,2023-10,-0.645,2023,10
춘천,2023-11,0.211,2023,11
춘천,2023-12,1.195,2023,12
춘천,2024-01,1.997,2024,1
춘천,2024-02,1.614,2024,2
춘천,2024-03,1.138,2024,3
춘천,2024-04,0.341,2024,4
춘천,2024-05,0.214,2024,5
춘천,2024-06,-0.307,2024,6
춘천,2024-07,0.231,2024,7
춘천,2024-08,-0.04,2024,8
춘천,2024-09,-0.308,2024,9
춘천,2024-10,-0.325,2024,10
춘천,2024-11,-0.009,2024,11
춘천,2024-12,0.648,2024,12
춘천,2025-01,-0.486,2025,1
춘천,2025-02,-0.878,2025,2
춘천,2025-03,-0.749,2025,3
춘천,2025-04,-0.492,2025,4
춘천,2025-05,0.01,2025,5
춘천,2025-06,-0.14,2025,6
춘천,2025-07,-0.365,2025,7
춘천,2025-08,-0.369,2025,8
춘천,2025-09,0.142,2025,9
춘천,2025-10,1.053,2025,10
홍천,2023-01,0.109,2023,1
홍천,2023-02,0.613,2023,2
홍천,2023-03,-0.175,2023,3
홍천,2023-04,-0.968,2023,4
홍천,2023-05,-0.572,2023,5
홍천,2023-06,0.071,2023,6
홍천,2023-07,0.6,2023,7
홍천,2023-08,0.277,2023,8
홍천,2023-09,-0.088,2023,9
홍천,2023-10,-0.447,2023,10
홍천,2023-11,0.131,2023,11
홍천,2023-12,1.5,2023,12
홍천,2024-01,2.405,2024,1
홍천,2024-02,2.013,2024,2
홍천,2024-03,1.354,2024,3
홍천,2024-04,0.513,2024,4
홍천,2024-05,0.064,2024,5
홍천,2024-06,-0.334,2024,6
홍천,2024-07,0.203,2024,7
홍천,2024-08,-0.087,2024,8
홍천,2024-09,-0.39,2024,9
홍천,2024-10,-0.405,2024,10
홍천,2024-11,0.077,2024,11
홍천,2024-12,1.07,2024,12
홍천,2025-01,0.438,2025,1
홍천,2025-02,-0.443,2025,2
홍천,2025-03,-0.781,2025,3
홍천,2025-04,-0.537,2025,4
홍천,2025-05,0.002,2025,5
홍천,2025-06,-0.03,2025,6
홍천,2025-07,-0.593,2025,7
홍천,2025-08,-1.054,2025,8
홍천,2025-09,-0.636,2025,9
홍천,2025-10,0.576,2025,10
