시군구,신주소,구주소,시설명,시설유형,용량_톤_일
춘천시,강원특별자치도 춘천시 스무숲길 4-51 (석사동),강원특별자치도 춘천시 석사동 171번지 8호,시립양로원,(공공용시설),100톤/일
춘천시,강원특별자치도 춘천시 우묵들길 24 (퇴계동),강원특별자치도 춘천시 퇴계동 1155번지,대한스포렉스,(공공용시설),220톤/일
춘천시,강원특별자치도 춘천시 신북읍 장본길 74 (오동초등학교),강원특별자치도 춘천시 신북읍 473번지 2호,오동초등학교,(공공용시설),187톤/일
춘천시,"강원특별자치도 춘천시 삭주로 77 (교동, 춘천성심병원)",강원특별자치도 춘천시 교동 153번지,한림대학교춘천성심병원,(공공용시설),210톤/일
춘천시,강원특별자치도 춘천시 한림대학길 1 (후평동),강원특별자치도 춘천시 후평동 671번지,한림대학교(운동장),(공공용시설),260톤/일
춘천시,강원특별자치도 춘천시 한림대학길 1 (후평동),강원특별자치도 춘천시 후평동 529번지 12호,한림대학교(학생생활관),(공공용시설),130톤/일
춘천시,강원특별자치도 춘천시 남산면 북한강변길 688-0,강원특별자치도 춘천시 남산면 백양리 29번지 1호,엘리시안강촌,(공공용시설),800톤/일
춘천시,강원특별자치도 춘천시 동면 장학길 24 (강원고등학교),강원특별자치도 춘천시 동면 36번지,강원고등학교(행정실),(공공용시설),150톤/일
춘천시,,강원특별자치도 춘천시 남산면 서천리 697번지,한화호텔앤드리조트(W-2),(공공용시설),1500톤/일
춘천시,"강원특별자치도 춘천시 스포츠타운길 376 (삼천동, 춘천베어스타운관광호텔)",강원특별자치도 춘천시 삼천동 300번지 3호,춘천베어스관광호텔,(공공용시설),500톤/일
춘천시,강원특별자치도 춘천시 약사고개길 15-1 (죽림동),강원특별자치도 춘천시 죽림동 11-9,천호장,(공공용시설),3024톤/일
춘천시,"강원특별자치도 춘천시 사우4길 18, 한국농어촌공사강원지역본부 (우두동)",강원특별자치도 춘천시 우두동 765-5 한국농어촌공사강원지역본부,한국농어촌공사 강원지역본부,(공공용시설),3024톤/일
춘천시,강원특별자치도 춘천시 공지로 270 (효자동),강원특별자치도 춘천시 효자동 312-1,베드로병원,(공공용시설),1800톤/일
홍천군,강원특별자치도 홍천군 남면 시동안로321번길 20,강원특별자치도 홍천군 남면 33번지,남면 3기갑여단 부근,(정부지원시설),150톤/일
홍천군,강원특별자치도 홍천군 홍천읍 꽃뫼로 71 (홍천여자고등학교),강원특별자치도 홍천군 홍천읍 337번지,홍천여자고등학교,(정부지원시설),100톤/일
홍천군,강원특별자치도 홍천군 홍천읍 구시울1길 25 (삼호2차아파트),강원특별자치도 홍천군 홍천읍 155번지,홍천읍 삼호아파트,(공공용시설),870톤/일
홍천군,강원특별자치도 홍천군 홍천읍 홍천로 651,강원특별자치도 홍천군 홍천읍 309번지,어린이교통체험장,(정부지원시설),192톤/일
철원군,"강원특별자치도 철원군 동송읍 이평로 133, 동송읍사무소",강원특별자치도 철원군 동송읍 이평리 860-1 동송읍사무소,동송읍사무소,(정부지원시설),120톤/일
철원군,"강원특별자치도 철원군 철원읍 금학로256번길 12, 24시청하보석사우나",강원특별자치도 철원군 철원읍 화지리 28-44 24시청하보석사우나,청하사우나,(공공용시설),200톤/일
철원군,"강원특별자치도 철원군 갈말읍 갈말로 32-30, (주)그래미",강원특별자치도 철원군 갈말읍 군탄리 505-8 (주)그래미,그래미(주),(공공용시설),250톤/일
철원군,"강원특별자치도 철원군 동송읍 태봉로 1799-22, 한탄리버 스파호텔",강원특별자치도 철원군 동송읍 장흥리 20-20 한탄리버 스파호텔,한탄리버스파호텔,(공공용시설),200톤/일
철원군,"강원특별자치도 철원군 갈말읍 갈말로 32-30, (주)그래미",강원특별자치도 철원군 갈말읍 군탄리 505-8 (주)그래미,그래미(주),(공공용시설),200톤/일
철원군,"강원특별자치도 철원군 갈말읍 명성로 178, 갈말읍사무소",강원특별자치도 철원군 갈말읍 신철원리 991-1 갈말읍사무소,갈말읍사무소,(정부지원시설),140톤/일
철원군,"강원특별자치도 철원군 김화읍 외골길 16, 김화농공관리사무소",강원특별자치도 철원군 김화읍 청양리 2872 김화농공관리사무소,김화농공단지,(공공용시설),150톤/일
철원군,"강원특별자치도 철원군 김화읍 외골길 16, 김화농공관리사무소",강원특별자치도 철원군 김화읍 청양리 2872 김화농공관리사무소,김화농공단지,(공공용시설),200톤/일
