시군구,fac_count_norm,capacity_sum_norm,capacity_mean_norm,emergency_water_idx,fac_count,capacity_sum,capacity_mean,capacity_max,capacity_min
강릉시,0.35294117647058826,0.32679965307892456,0.505920900215125,0.39522057658821264,10,4643,464.3,2680,106
속초시,0.35294117647058826,0.2741543798785776,0.40949197418500743,0.3455291768447244,10,4036,403.6,1950,100
원주시,1.0,0.5888985255854293,0.3481714380274698,0.6456899878709664,21,7665,365.0,2300,100
인제군,0.11764705882352941,0.0,0.0,0.0392156862745098,6,875,145.83333333333334,300,45
철원군,0.23529411764705882,0.05073720728534258,0.058249213966572885,0.11476017963299144,8,1460,182.5,250,120
춘천시,0.7058823529411765,1.0,1.0,0.9019607843137255,16,12405,775.3125,3024,100
홍천군,0.0,0.03790112749349523,0.28939268575210986,0.10909793774853503,4,1312,328.0,870,100
