region,treatment_resilience,reservoir_resilience,water_resilience_index,capacity_per_capita,storage_days,treatment_capacity,reservoir_capacity
춘천시,0.41646416143332826,0.26265071383759714,0.3395574376354627,0.649579693999071,0.5831611965419631,186000.0,60980.0
원주시,0.0,0.3469015172700298,0.1734507586350149,0.24515916923635045,0.7183197273020696,86500.0,91246.0
강릉시,0.33239758123816066,0.23350669693870874,0.2829521390884347,0.5679442169858111,0.5364071913097102,116800.0,56540.0
속초시,0.3920433244845076,0.43482804315299106,0.41343568381874934,0.6258650779322381,0.859375,52000.0,29480.0
홍천군,0.4447436864116855,0.5521989300266291,0.4984713082191573,0.6770414095340309,1.0476661020139282,37850.0,22265.0
철원군,0.5974553594110912,0.0,0.2987276797055456,0.8253368468154925,0.16180634722171147,33200.0,4400.0
인제군,0.8761726299705236,0.34515186004363524,0.6106622450070794,1.0959939531368104,0.7155128567391918,29000.0,12661.0
