region,water_budget_static_idx,water_budget_ratio_norm,water_budget_ratio,water_budget,total_budget
강릉시,0.08447364705558037,0.08447364705558037,0.08271130533554541,118255.0,1429732.0
속초시,0.0,0.0,0.07613907180618339,37763.0,495974.0
원주시,0.1385809198888034,0.1385809198888034,0.08692096888260255,145521.0,1674176.0
춘천시,0.6919219198652488,0.6919219198652488,0.12997210257904526,210537.0,1619863.0
홍천군,0.5501997866496434,0.5501997866496434,0.11894581227149564,85206.0,716343.0
철원군,0.03601716311978271,0.03601716311978271,0.07894128545907077,44055.0,558073.0
인제군,1.0,1.0,0.15394124749581295,90904.0,590511.0
