region,pipe_total_norm,pipe_old_norm,old_pipe_ratio_norm,pipe_index,total_pipe_km,old_pipe_km,old_ratio
강릉시,1.0,1.0,1.0,1.0,1968.04,855.89,43.48946159630902
속초시,0.08126558054843529,0.23813428458564265,0.9441226557865736,0.4211741736402172,532.568,219.435,41.20318907632453
원주시,0.8482250575220248,0.7343875315720801,0.8323117447323122,0.8049747779421391,1730.9,634.0,36.62834363625859
인제군,0.09946270108707825,0.0,0.026411233948952888,0.04195797834534371,561.0,20.5,3.6541889483065955
철원군,0.0,0.045494918541040714,0.28964733104026996,0.11171408319377023,405.595,58.506,14.424734032717366
춘천시,0.8750740026048917,0.2936329139683262,0.30352851593179264,0.4907451441683368,1772.85,265.798,14.992695377499507
홍천군,0.3345365756874642,0.0040579848932833775,0.0,0.11286485352691585,928.29,23.89,2.5735492141464413
